player id,team id,player,team,posicion,Edad,appearances,minutesPlayed,rating,goals,assists,goalsAssistsSum,penaltyGoals,expectedGoals,expectedAssists,totalShots,shotsOnTarget,shotsOffTarget,bigChancesCreated,keyPasses,totalPasses,accuratePassesPercentage,successfulDribbles,tackles,interceptions,ballRecovery,clearances,blockedShots,totalDuelsWon,duelLost,wasFouled,fouls,yellowCards,redCards,ownGoals,goals_per90,assists_per90,goalsAssistsSum_per90,expectedGoals_per90,expectedAssists_per90,totalShots_per90,shotsOnTarget_per90,keyPasses_per90,successfulDribbles_per90,tackles_per90,interceptions_per90,ballRecovery_per90,totalDuelsWon_per90,wasFouled_per90,fouls_per90,yellowCards_per90,redCards_per90
1018432,112499,Lucas Angelini,Temperley,Defensor,31,24,2135.0,7.0,1,1,2.0,0,,,18.0,4.0,,,20.0,958.0,72.86,11.0,,,225.0,69.0,2.0,176.0,147.0,12.0,25.0,11,0,0.0,0.04,0.04,0.08,,,0.76,0.17,0.84,0.46,,,9.48,7.42,0.51,1.05,0.46,0.0
922441,34976,Agustín Obando,Atlético de Rafaela,Mediocampista,26,21,1269.0,7.0,2,1,3.0,0,,,26.0,10.0,,,13.0,362.0,66.85,7.0,,,95.0,18.0,3.0,107.0,107.0,21.0,25.0,4,0,0.0,0.14,0.07,0.21,,,1.84,0.71,0.92,0.5,,,6.74,7.59,1.49,1.77,0.28,0.0
1093120,43740,Tomas Villoldo,Almirante Brown,Defensor,31,21,1473.0,6.99,1,2,3.0,0,,,10.0,2.0,,,10.0,552.0,70.29,14.0,,,189.0,41.0,1.0,148.0,142.0,10.0,20.0,1,0,0.0,0.06,0.12,0.18,,,0.61,0.12,0.61,0.86,,,11.55,9.04,0.61,1.22,0.06,0.0
789276,255425,Santiago Rosales,CA Mitre,Delantero,31,14,987.0,6.99,2,0,2.0,1,,,27.0,8.0,,,11.0,308.0,77.92,9.0,,,43.0,18.0,0.0,115.0,124.0,20.0,12.0,2,0,0.0,0.18,0.0,0.18,,,2.46,0.73,1.0,0.82,,,3.92,10.49,1.82,1.09,0.18,0.0
1485384,34976,Martiniano Moreno,Atlético de Rafaela,Delantero,23,24,1878.0,6.99,6,1,7.0,0,,,52.0,26.0,,,15.0,364.0,64.29,36.0,,,70.0,24.0,2.0,227.0,408.0,42.0,73.0,8,0,0.0,0.29,0.05,0.34,,,2.49,1.25,0.72,1.73,,,3.35,10.88,2.01,3.5,0.38,0.0
1093193,53799,Patricio Ostachuk,Atlanta,Defensor,26,11,764.0,6.99,0,0,0.0,0,,,3.0,1.0,,,1.0,518.0,83.01,3.0,,,98.0,44.0,5.0,55.0,40.0,2.0,9.0,3,0,0.0,0.0,0.0,0.0,,,0.35,0.12,0.12,0.35,,,11.54,6.48,0.24,1.06,0.35,0.0
1097567,3200,Lucas Ambrogio,Nueva Chicago,Mediocampista,27,19,943.0,6.99,3,0,3.0,1,,,36.0,16.0,,,18.0,353.0,73.37,29.0,,,52.0,9.0,1.0,85.0,111.0,15.0,16.0,4,0,0.0,0.29,0.0,0.29,,,3.44,1.53,1.72,2.77,,,4.96,8.11,1.43,1.53,0.38,0.0
943795,7772,Sebastián Jaurena,San Martín de San Juan,Mediocampista,27,21,1454.0,6.99,1,1,2.0,0,,,31.0,12.0,,,19.0,407.0,69.78,45.0,,,87.0,17.0,2.0,152.0,175.0,13.0,22.0,4,0,0.0,0.06,0.06,0.12,,,1.92,0.74,1.18,2.79,,,5.39,9.41,0.8,1.36,0.25,0.0
551382,6074,Roberto Ramírez,Godoy Cruz,Portero,30,19,1710.0,6.99,0,1,1.0,0,,,0.0,0.0,,,3.0,368.0,79.62,3.0,,,98.0,5.0,0.0,13.0,4.0,5.0,0.0,2,0,0.0,0.0,0.05,0.05,,,0.0,0.0,0.16,0.16,,,5.16,0.68,0.26,0.0,0.11,0.0
1597464,43741,Fernando Ezequiel Moreyra Aldana,Patronato,Defensor,36,18,1450.0,6.99,0,0,0.0,0,,,6.0,0.0,,,2.0,459.0,73.64,5.0,,,182.0,62.0,10.0,96.0,77.0,6.0,7.0,3,0,0.0,0.0,0.0,0.0,,,0.37,0.0,0.12,0.31,,,11.3,5.96,0.37,0.43,0.19,0.0
796601,4938,Julian Vitale,Almagro,Defensor,31,19,1190.0,6.99,2,0,2.0,0,,,3.0,2.0,,,2.0,398.0,79.15,2.0,,,140.0,60.0,17.0,97.0,75.0,4.0,13.0,6,0,0.0,0.15,0.0,0.15,,,0.23,0.15,0.15,0.15,,,10.59,7.34,0.3,0.98,0.45,0.0
1627971,270344,Lautaro Díaz Laharque,Ferrocarril Midland,Defensor,31,25,2092.0,6.99,2,2,4.0,0,,,20.0,4.0,,,10.0,698.0,69.34,5.0,,,224.0,62.0,2.0,168.0,145.0,15.0,20.0,3,0,0.0,0.09,0.09,0.17,,,0.86,0.17,0.43,0.22,,,9.64,7.23,0.65,0.86,0.13,0.0
892473,224646,Leandro Finochietto,Güemes,Portero,29,25,2250.0,6.99,0,0,0.0,0,,,0.0,0.0,,,0.0,479.0,75.57,0.0,,,92.0,8.0,0.0,9.0,2.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.68,0.36,0.12,0.0,0.0,0.0
384262,222126,Jonás Aguirre,Gimnasia y Tiro de Salta,Mediocampista,34,23,1738.0,6.99,1,3,4.0,0,,,22.0,5.0,,,23.0,675.0,66.07,25.0,,,115.0,28.0,2.0,143.0,169.0,11.0,11.0,4,0,0.0,0.05,0.16,0.21,,,1.14,0.26,1.19,1.29,,,5.96,7.41,0.57,0.57,0.21,0.0
1387036,3214,Tomás Pérez Serra,Club Atlético Chacarita Juniors,Mediocampista,27,24,2029.0,6.99,1,0,1.0,0,,,11.0,2.0,,,4.0,610.0,72.95,3.0,,,285.0,57.0,4.0,238.0,141.0,33.0,25.0,5,0,0.0,0.04,0.0,0.04,,,0.49,0.09,0.18,0.13,,,12.64,10.56,1.46,1.11,0.22,0.0
1597532,252726,Matias Sebastian Romero,Chaco For Ever,Delantero,32,23,1317.0,6.99,7,2,9.0,2,,,34.0,22.0,,,12.0,242.0,64.88,1.0,,,31.0,12.0,1.0,126.0,155.0,8.0,7.0,3,0,0.0,0.48,0.14,0.62,,,2.32,1.5,0.82,0.07,,,2.12,8.61,0.55,0.48,0.21,0.0
2050786,112499,Lorenzo Monti,Temperley,Defensor,28,22,1947.0,6.99,0,3,3.0,0,,,8.0,3.0,,,13.0,743.0,66.62,10.0,,,214.0,75.0,4.0,232.0,153.0,17.0,28.0,4,1,0.0,0.0,0.14,0.14,,,0.37,0.14,0.6,0.46,,,9.89,10.72,0.79,1.29,0.18,0.05
1126884,5292,Francisco Maidana,Gimnasia Y Esgrima De Jujuy,Mediocampista,24,27,1970.0,6.98,2,2,3.0,0,,,19.0,4.0,,,16.0,938.0,83.69,11.0,,,219.0,18.0,6.0,160.0,156.0,28.0,15.0,3,0,0.0,0.09,0.09,0.14,,,0.87,0.18,0.73,0.5,,,10.01,7.31,1.28,0.69,0.14,0.0
789396,222126,Joaquin Matias Papaleo,Gimnasia y Tiro de Salta,Portero,32,12,1028.0,6.98,0,0,0.0,0,,,0.0,0.0,,,0.0,186.0,76.88,0.0,,,39.0,0.0,0.0,3.0,1.0,1.0,0.0,1,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,3.41,0.26,0.09,0.0,0.09,0.0
1598512,112497,Peter Iván Martínez Grance,Los Andes,Defensor,26,24,1957.0,6.98,0,3,3.0,0,,,5.0,1.0,,,17.0,647.0,76.82,16.0,,,222.0,51.0,4.0,167.0,128.0,14.0,23.0,4,1,0.0,0.0,0.14,0.14,,,0.23,0.05,0.78,0.74,,,10.21,7.68,0.64,1.06,0.18,0.05
1117089,7772,Nazareno Fúnez,San Martín de San Juan,Delantero,25,23,1963.0,6.98,9,4,13.0,0,,,46.0,22.0,,,25.0,325.0,65.54,12.0,,,37.0,17.0,1.0,166.0,409.0,24.0,33.0,2,0,0.0,0.41,0.18,0.6,,,2.11,1.01,1.15,0.55,,,1.7,7.61,1.1,1.51,0.09,0.0
838306,264945,Kevin Ceceri,San Miguel,Defensor,30,25,2038.0,6.98,2,0,2.0,0,,,8.0,3.0,,,3.0,544.0,73.53,2.0,,,332.0,117.0,10.0,254.0,115.0,13.0,17.0,6,0,0.0,0.09,0.0,0.09,,,0.35,0.13,0.13,0.09,,,14.66,11.22,0.57,0.75,0.26,0.0
385318,255425,Yonatan Cabral,CA Mitre,Defensor,34,8,720.0,6.98,0,1,1.0,0,,,2.0,1.0,,,1.0,225.0,76.0,0.0,,,70.0,57.0,1.0,37.0,23.0,1.0,4.0,3,0,0.0,0.0,0.12,0.12,,,0.25,0.12,0.12,0.0,,,8.75,4.62,0.12,0.5,0.38,0.0
2054629,6074,Camilo Alessandría,Godoy Cruz,Defensor,26,4,291.0,6.98,0,0,0.0,0,,,0.0,0.0,,,1.0,142.0,77.46,1.0,,,40.0,8.0,0.0,30.0,10.0,4.0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.31,0.31,,,12.37,9.28,1.24,0.0,0.0,0.0
941433,273657,Cristian Vega,Racing de Córdoba,Mediocampista,32,9,529.0,6.98,0,0,0.0,0,,,5.0,1.0,,,2.0,233.0,74.25,5.0,,,74.0,9.0,5.0,68.0,49.0,4.0,10.0,3,0,0.0,0.0,0.0,0.0,,,0.85,0.17,0.34,0.85,,,12.59,11.57,0.68,1.7,0.51,0.0
1117173,255425,Marcos Machado,CA Mitre,Delantero,25,28,2312.0,6.97,11,2,13.0,1,,,74.0,29.0,,,19.0,371.0,61.99,19.0,,,48.0,10.0,1.0,123.0,285.0,11.0,25.0,2,0,0.0,0.43,0.08,0.51,,,2.88,1.13,0.74,0.74,,,1.87,4.79,0.43,0.97,0.08,0.0
1094073,5292,Mauro Cachi,Gimnasia Y Esgrima De Jujuy,Mediocampista,28,25,1421.0,6.97,3,2,5.0,0,,,31.0,11.0,,,24.0,575.0,80.7,18.0,,,84.0,6.0,1.0,93.0,161.0,22.0,18.0,2,0,0.0,0.19,0.13,0.32,,,1.96,0.7,1.52,1.14,,,5.32,5.89,1.39,1.14,0.13,0.0
860000,93107,Nicolás Caro Torres,Estudiantes de Buenos Aires,Defensor,31,18,1462.0,6.97,0,1,1.0,0,,,3.0,0.0,,,3.0,717.0,75.17,3.0,,,186.0,79.0,9.0,118.0,82.0,10.0,14.0,3,1,0.0,0.0,0.06,0.06,,,0.18,0.0,0.18,0.18,,,11.45,7.26,0.62,0.86,0.18,0.06
1182418,252726,Gastón Canuto,Chaco For Ever,Portero,38,11,912.0,6.97,0,0,0.0,0,,,0.0,0.0,,,1.0,196.0,82.14,1.0,,,77.0,3.0,0.0,7.0,3.0,2.0,1.0,4,1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.1,0.1,,,7.6,0.69,0.2,0.1,0.39,0.1
2217864,36841,Felipe Obradovich,Club Ferro Carril Oeste,Mediocampista,19,25,2126.0,6.97,2,1,3.0,0,,,9.0,4.0,,,7.0,836.0,79.67,11.0,,,273.0,44.0,5.0,252.0,162.0,23.0,34.0,5,0,0.0,0.08,0.04,0.13,,,0.38,0.17,0.3,0.47,,,11.56,10.67,0.97,1.44,0.21,0.0
